41145|0|6954|60 EVLER-HALKEVİ-ŞEHİR HASTANESİ-D.BANKASI-UMUTTEPE
41560|1|6942|GEBZE OTOGAR - FATİH İST.
41103|1|6935|KİPA AVM - 60 EVLER
42032|0|6886|TREN GARI-ŞEHİR HASTANESİ-BOĞAZOVA-BAYINDIRLIK
41412|1|6868|SGK - MUTLUKENT - ADALET SARAYI - GEBZE - BEYLİKBAĞI
41426|0|6850|BALÇIK - GEBZE - TATLIKUYU KAPALI PAZAR
41681|1|6835|GÖLCÜK - İHSANİYE
41044|0|6768|GÜNEY TERMİNALİ - BAĞÇEŞME
41201|0|6756|ARSLANBEY - İZMİT
41721|0|6733|DEĞİRMENDERE - İZMİT (ESKİ YOL)
41315|1|6711|DARICA - TAVŞANCIL
41553|1|6698|GEBZE - ADEM YAVUZ
41580|1|6681|BARIŞ MAH.-OTOGAR-M.PAŞA CAMİ-ADLİYE-MUTLUKENT-ÖZGÜNKENT
41406|0|6608|İNÖNÜ - SIRASÖĞÜTLER
41053|0|6588|BATI TERMİNALİ-TOPÇULAR-TUANA EVLERİ-UMUTTEPE
41090|1|6542|UMUT EVLER-GIDA OSB-CEZAEVİ-SANTRAL-ŞİRİNTEPE-B.SİTESİ
41320|1|6529|ÇAĞDAŞKENT  - ÇERKEŞLİ
41302|1|6517|GEBZE - DİLOVASI
41425|1|6475|DARICA-GEBZE-M.SİNAN-ÇAYIROVA-ADLİYE-KBB GARAJ 
41715|1|6462|ÇARŞI-KERİMAĞA-ŞEHİTLER MAH.-ŞİRİNKÖY
41070|0|6420|AKPINAR TOKİ-BAYINDIRLIK-ŞEHİR HASTANESİ-UMUTTEPE
41315|0|6406|TAVŞANCIL-  DARICA
41410|0|6361|KİRAZPINAR - BAYRAMOĞLU
41071|1|6316|TAVŞANTEPE-CUMHURİYET PARKI-BATI TERMİNALİ
41325|1|6305|ÇAĞDAŞ KENT - DİLİSKELESİ
41750|1|6297|UMUTTEPE-İZMİT-GÖLCÜK-KARAMÜRSEL
41580|0|6217|ÖZGÜNKENT-MUTLUKENT-ADLİYE-M.PAŞA CAMİ-BARIŞ MAH.
41090|0|6169|B.SİTESİ-ŞİRİNTEPE-SANTRAL-CEZAEVİ-GIDA OSB-UMUT EVLER
41418|1|6164|YENİKENT - İSTASYON
51068|1|6163|İZMİT- ESELER
41651|1|6131|İZMİT - YENİKÖY
41055|0|6060|BEYHAN-GÜLTEPE-HALKEVİ-CUMHURİYET PARKI
41415|1|6041|DARICA - GEBZE - B.BAĞI - ADLİYE-KBB GEBZE GARAJ 
41414|1|6030|MUSTAFA PAŞA CAMİ - MİMAR SİNAN 
41070|1|6010|UMUTTEPE-BAYINDIRLIK-ŞEHİR HASTANESİ-AKPINAR TOKİ
41059|0|5983|TÜYSÜZLER-TREN GARI-EMNİYET-CUMHURİYET PARKI
41325|0|5960|DİLİSKELESİ - ÇAĞDAŞ KENT
